,,,,,,,,,
,REKAP LOG RADIOLOGI,,,,,,,,
,6/19/2026,,,,,,,,
,No.,Pemeriksaan,,,,Pasien,Baca/exp,Tdk Baca/exp,Total exp.
,,,,,,,,,
,1,Thorax,MCU,BRI MEDIKA,,2,,-,45
,,,,DOKES,,2,,-,
,,,,PT BUMI,,1,,-,
,,,,PT SEJAHTERA,,1,,-,
,,,,PT. BAHANA SELARAS ALAM,,4,,-,
,,,,PT.ADMF,,5,,-,
,,,,PT.FIF,,1,,-,
,,,,PT.GPE,,2,,-,
,,,,PT.LINTAS,,1,,-,
,,,,PT.MAXIMA,,2,,-,
,,,,PT.OSS,,1,,-,
,,,,PT.PKSS,,1,,-,
,,,,PT.SSB,,1,,-,
,,,,PT.SUCOFINDO,,2,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,-,
,,,,,,,,,
,,,Umum,APS,,11,,-,
,,,,,PA/Lat,-,-,-,
,,,,APD,,,,-,
,,,,,PA/Lat,8,,-,
,2,Musculo,,APS,AP/Lat,52,,-,74
,,,,,,,,-,
,,,,,3 posisi,-,-,-,
,,,,APD,AP/Lat,14,,-,
,,,,,,,,-,
,,,,,3 posisi,-,-,,
,,,,,MCU,8,-,,
,3,Dental,,APS,,3,,-,35
,,,,APD,,32,,-,
,4,Panoramic/cepalo,,APS,,53,,,78
,,,,APD,,24,,,
,,,,MCU,,1,-,-,
,5,CT-Scan,,APS,,20,,,35
,,,,APD,,15,,,
,TOTAL,,,,,,,,267
,,,,,,,,,
,,,,,"Kendari,MEI 2026",,,,
,,,,,Petugas Radiologi,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,"SAYYIDAH ULFAH, AMD. RAD",,,,
